# Python MESMA for LE07_LT05_19990831_19991102 run on 20200126 
#  MESMA frac range = 0.2-1 
#  Northings (y); Latitude; Eastings (x) Longitude; Kelp Fraction
4423950 39.9615621 416370 -123.9791791 0.98207
4423920 39.9612918 416370 -123.9791752 0.97145
4396920 39.7191782 428730 -123.8315356 0.30692
4371060 39.4863647 430830 -123.8043364 0.54419
4366830 39.4481341 429360 -123.8209805 0.35215
4364820 39.4300978 430260 -123.8103118 0.89106
4364400 39.4262183 429090 -123.8238602 0.34034
4364400 39.4262207 429120 -123.8235117 0.32685
4364370 39.4259480 429090 -123.8238570 0.30122
4364370 39.4259504 429120 -123.8235085 0.30432
4364370 39.4259603 429240 -123.8221144 0.29786
4364340 39.4256777 429090 -123.8238538 0.30083
4364340 39.4256801 429120 -123.8235053 0.28697
4364340 39.4256826 429150 -123.8231568 0.30127
4364340 39.4256851 429180 -123.8228083 0.30078
4364340 39.4256875 429210 -123.8224598 0.36863
4364340 39.4256900 429240 -123.8221113 0.38758
4364340 39.4256925 429270 -123.8217628 0.30015
4364340 39.4257513 429990 -123.8133984 0.25456
4364340 39.4257537 430020 -123.8130499 0.24886
4364310 39.4254074 429090 -123.8238507 0.33227
4364310 39.4254098 429120 -123.8235021 0.32685
4364310 39.4254123 429150 -123.8231536 0.28693
4364310 39.4254148 429180 -123.8228051 0.34016
4364310 39.4254172 429210 -123.8224566 0.33712
4364310 39.4254197 429240 -123.8221081 0.34232
4364310 39.4254222 429270 -123.8217596 0.33150
4364280 39.4251371 429090 -123.8238475 0.30122
4364280 39.4251396 429120 -123.8234990 0.30807
4364280 39.4251420 429150 -123.8231505 0.28693
4364280 39.4251469 429210 -123.8224534 0.30078
4364280 39.4251494 429240 -123.8221049 0.34232
4364250 39.4248693 429120 -123.8234958 0.30127
4364250 39.4248717 429150 -123.8231473 0.30127
4363980 39.4224416 429180 -123.8227702 0.30078
4363890 39.4216282 429150 -123.8231091 0.35155
4363890 39.4216307 429180 -123.8227606 0.33150
4363860 39.4213554 429120 -123.8234544 0.34562
4363860 39.4213579 429150 -123.8231059 0.45887
4363860 39.4213604 429180 -123.8227574 0.33150
4363860 39.4213628 429210 -123.8224090 0.29433
4363830 39.4210852 429120 -123.8234513 0.33150
4363830 39.4210876 429150 -123.8231028 0.34562
4363830 39.4210901 429180 -123.8227543 0.40922
4363830 39.4210926 429210 -123.8224058 0.35319
4363800 39.4208173 429150 -123.8230996 0.39840
4363800 39.4208198 429180 -123.8227511 0.33857
4363770 39.4205569 429270 -123.8217024 0.40754
4363770 39.4205594 429300 -123.8213540 0.48588
4363740 39.4202866 429270 -123.8216993 0.30064
4362630 39.4102487 428820 -123.8268084 0.32262
4362600 39.4099809 428850 -123.8264568 0.34738
4362600 39.4099834 428880 -123.8261084 0.37498
4362600 39.4099883 428940 -123.8254115 0.31913
4362570 39.4097131 428880 -123.8261052 0.29369
4362540 39.4094527 429000 -123.8247083 0.31914
4362540 39.4094551 429030 -123.8243598 0.32238
4362540 39.4094576 429060 -123.8240114 0.29691
4362540 39.4094601 429090 -123.8236630 0.29507
4362540 39.4094625 429120 -123.8233145 0.26701
4362510 39.4091848 429030 -123.8243566 0.32216
4362510 39.4091873 429060 -123.8240082 0.31561
4362510 39.4091898 429090 -123.8236598 0.31413
4362510 39.4091922 429120 -123.8233113 0.32639
4362480 39.4089195 429090 -123.8236566 0.34786
4362480 39.4089220 429120 -123.8233082 0.36100
4362480 39.4089244 429150 -123.8229597 0.31614
4362450 39.4086368 428940 -123.8253956 0.32324
4362450 39.4086517 429120 -123.8233050 0.39612
4362450 39.4086541 429150 -123.8229566 0.42279
4362450 39.4086566 429180 -123.8226081 0.33229
4362420 39.4083665 428940 -123.8253924 0.31564
4362420 39.4083690 428970 -123.8250440 0.31454
4362420 39.4083838 429150 -123.8229534 0.39939
4362390 39.4080938 428910 -123.8257376 0.29446
4362390 39.4080963 428940 -123.8253892 0.31556
4362390 39.4080987 428970 -123.8250408 0.31900
4362390 39.4081012 429000 -123.8246923 0.32252
4362360 39.4078260 428940 -123.8253860 0.32565
4362360 39.4078284 428970 -123.8250376 0.34712
4362360 39.4078309 429000 -123.8246892 0.29100
4362330 39.4075532 428910 -123.8257312 0.29710
4362330 39.4075557 428940 -123.8253828 0.31904
4362330 39.4075581 428970 -123.8250344 0.34822
4362330 39.4075606 429000 -123.8246860 0.37290
4362300 39.4072854 428940 -123.8253796 0.37754
4362300 39.4072878 428970 -123.8250312 0.46999
4362300 39.4072903 429000 -123.8246828 0.38612
4362270 39.4070151 428940 -123.8253764 0.32826
4362270 39.4070176 428970 -123.8250280 0.39216
4362270 39.4070200 429000 -123.8246796 0.32463
4362270 39.4070225 429030 -123.8243312 0.32035
4362240 39.4067423 428910 -123.8257217 0.32110
4362240 39.4067448 428940 -123.8253733 0.34811
4362240 39.4067473 428970 -123.8250248 0.32088
4362240 39.4067497 429000 -123.8246764 0.31900
4362240 39.4067522 429030 -123.8243280 0.29489
4362240 39.4067547 429060 -123.8239796 0.29808
4362210 39.4064720 428910 -123.8257185 0.34187
4362210 39.4064745 428940 -123.8253701 0.31950
4362210 39.4064770 428970 -123.8250217 0.31684
4362210 39.4064794 429000 -123.8246732 0.37696
4362210 39.4064819 429030 -123.8243248 0.31996
4362210 39.4064844 429060 -123.8239764 0.29935
4362180 39.4062017 428910 -123.8257153 0.34149
4362180 39.4062042 428940 -123.8253669 0.34838
4362180 39.4062067 428970 -123.8250185 0.31684
4362180 39.4062091 429000 -123.8246701 0.34794
4362180 39.4062116 429030 -123.8243216 0.31996
4362150 39.4059339 428940 -123.8253637 0.37202
4362150 39.4059364 428970 -123.8250153 0.38158
4362150 39.4059388 429000 -123.8246669 0.31831
4362150 39.4059413 429030 -123.8243185 0.29252
4362150 39.4059438 429060 -123.8239700 0.32494
4362120 39.4056587 428880 -123.8260573 0.32483
4362120 39.4056611 428910 -123.8257089 0.37460
4362120 39.4056636 428940 -123.8253605 0.34177
4362120 39.4056661 428970 -123.8250121 0.38224
4362120 39.4056686 429000 -123.8246637 0.30011
4362120 39.4056710 429030 -123.8243153 0.26960
4362120 39.4056735 429060 -123.8239669 0.34373
4362090 39.4053958 428970 -123.8250089 0.34290
4362090 39.4053983 429000 -123.8246605 0.32035
4362060 39.4051230 428940 -123.8253541 0.37337
4362060 39.4051255 428970 -123.8250057 0.34383
4362030 39.4048527 428940 -123.8253510 0.37955
4362030 39.4048552 428970 -123.8250025 0.34984
4362030 39.4048577 429000 -123.8246541 0.34456
4362000 39.4045824 428940 -123.8253478 0.34381
4362000 39.4045849 428970 -123.8249994 0.33579
4362000 39.4045874 429000 -123.8246510 0.39635
4362000 39.4046046 429210 -123.8222121 0.35682
4362000 39.4046071 429240 -123.8218637 0.60596
4361970 39.4043146 428970 -123.8249962 0.34278
4361970 39.4043171 429000 -123.8246478 0.37186
4361970 39.4043196 429030 -123.8242994 0.40665
4361970 39.4043220 429060 -123.8239509 0.37898
4361970 39.4043343 429210 -123.8222089 0.33516
4361970 39.4043368 429240 -123.8218605 0.46466
4361970 39.4043393 429270 -123.8215121 0.56840
4361940 39.4040493 429030 -123.8242962 0.39094
4361940 39.4040517 429060 -123.8239478 0.43361
4361940 39.4040542 429090 -123.8235994 0.29925
4361940 39.4040567 429120 -123.8232510 0.29496
4361940 39.4040641 429210 -123.8222057 0.32584
4361940 39.4040665 429240 -123.8218573 0.31053
4361940 39.4040690 429270 -123.8215089 0.42890
4361910 39.4037790 429030 -123.8242930 0.33333
4361910 39.4037814 429060 -123.8239446 0.34451
4361910 39.4037962 429240 -123.8218541 0.50995
4361910 39.4037987 429270 -123.8215057 0.72907
4361880 39.4035087 429030 -123.8242898 0.31336
4361880 39.4035259 429240 -123.8218510 0.44081
4361850 39.4032235 428850 -123.8263771 0.37087
4361850 39.4032260 428880 -123.8260286 0.40431
4361850 39.4032507 429180 -123.8225446 0.37401
