# Python MESMA for LE07_LE07_20000918_20000925 run on 20200126 
#  MESMA frac range = 0.2-1 
#  Northings (y); Latitude; Eastings (x) Longitude; Kelp Fraction
4398630 39.7344931 427650 -123.8443230 0.33618
4398630 39.7344982 427710 -123.8436229 0.33618
4398600 39.7342304 427740 -123.8432695 0.37684
4398600 39.7342330 427770 -123.8429195 0.38218
4398600 39.7342355 427800 -123.8425694 0.38086
4398600 39.7342381 427830 -123.8422193 0.38125
4398570 39.7339551 427680 -123.8439664 0.33850
4398570 39.7339627 427770 -123.8429162 0.39125
4398570 39.7339652 427800 -123.8425661 0.37339
4398570 39.7339678 427830 -123.8422161 0.38111
4398570 39.7339703 427860 -123.8418660 0.38125
4398540 39.7336848 427680 -123.8439631 0.38702
4398540 39.7336899 427740 -123.8432629 0.33736
4398540 39.7336924 427770 -123.8429129 0.38520
4398540 39.7336950 427800 -123.8425628 0.37822
4398540 39.7337000 427860 -123.8418627 0.38200
4398540 39.7337026 427890 -123.8415126 0.38200
4398540 39.7337102 427980 -123.8404625 0.37940
4398540 39.7337127 428010 -123.8401124 0.42135
4398510 39.7334196 427740 -123.8432596 0.38809
4398510 39.7334221 427770 -123.8429096 0.38200
4398510 39.7334298 427860 -123.8418594 0.38823
4398510 39.7334323 427890 -123.8415094 0.38200
4398510 39.7334374 427950 -123.8408092 0.39125
4398510 39.7334399 427980 -123.8404592 0.37940
4398510 39.7334450 428040 -123.8397591 0.37669
4398510 39.7334475 428070 -123.8394090 0.33736
4398510 39.7334500 428100 -123.8390589 0.37642
4398480 39.7331468 427710 -123.8436064 0.38200
4398480 39.7331493 427740 -123.8432564 0.37822
4398480 39.7331544 427800 -123.8425562 0.38823
4398480 39.7331569 427830 -123.8422062 0.38233
4398480 39.7331595 427860 -123.8418561 0.38125
4398480 39.7331620 427890 -123.8415061 0.38200
4398480 39.7331671 427950 -123.8408060 0.42619
4398480 39.7331696 427980 -123.8404559 0.38823
4398480 39.7331747 428040 -123.8397558 0.37642
4398480 39.7331974 428310 -123.8366053 0.37822
4398450 39.7328765 427710 -123.8436031 0.38200
4398450 39.7328790 427740 -123.8432531 0.38218
4398450 39.7328841 427800 -123.8425529 0.37694
4398450 39.7328892 427860 -123.8418528 0.41711
4398450 39.7328943 427920 -123.8411527 0.38086
4398450 39.7328968 427950 -123.8408027 0.37535
4398450 39.7329019 428010 -123.8401026 0.38107
4398450 39.7329221 428250 -123.8373021 0.38059
4398420 39.7326062 427710 -123.8435998 0.38200
4398420 39.7326088 427740 -123.8432498 0.38427
4398420 39.7326113 427770 -123.8428997 0.37706
4398420 39.7326139 427800 -123.8425497 0.38521
4398420 39.7326164 427830 -123.8421996 0.38520
4398420 39.7326240 427920 -123.8411494 0.38226
4398420 39.7326265 427950 -123.8407994 0.40171
4398420 39.7326316 428010 -123.8400993 0.42623
4398420 39.7326367 428070 -123.8393992 0.37684
4398420 39.7326443 428160 -123.8383490 0.37940
4398420 39.7326518 428250 -123.8372988 0.37684
4398420 39.7326544 428280 -123.8369488 0.38086
4398420 39.7326569 428310 -123.8365987 0.38200
4398390 39.7323359 427710 -123.8435965 0.38125
4398390 39.7323385 427740 -123.8432465 0.38614
4398390 39.7323410 427770 -123.8428964 0.38218
4398390 39.7323512 427890 -123.8414962 0.37826
4398390 39.7323537 427920 -123.8411462 0.37706
4398390 39.7323563 427950 -123.8407961 0.37944
4398390 39.7323588 427980 -123.8404461 0.37916
4398390 39.7323613 428010 -123.8400960 0.43135
4398390 39.7323639 428040 -123.8397459 0.33618
4398390 39.7323689 428100 -123.8390458 0.38201
4398390 39.7323715 428130 -123.8386958 0.36641
4398390 39.7323917 428370 -123.8358954 0.38086
4398390 39.7324042 428520 -123.8341451 0.41918
4398360 39.7320657 427710 -123.8435932 0.37822
4398360 39.7320682 427740 -123.8432432 0.38200
4398360 39.7320708 427770 -123.8428931 0.37822
4398360 39.7320733 427800 -123.8425431 0.38059
4398360 39.7320758 427830 -123.8421930 0.38200
4398360 39.7320784 427860 -123.8418430 0.38201
4398360 39.7320860 427950 -123.8407928 0.37642
4398360 39.7320885 427980 -123.8404428 0.38086
4398360 39.7320911 428010 -123.8400927 0.42711
4398360 39.7320936 428040 -123.8397427 0.33736
4398360 39.7320986 428100 -123.8390426 0.43497
4398360 39.7321012 428130 -123.8386925 0.38339
4398360 39.7321088 428220 -123.8376424 0.37642
4398360 39.7321214 428370 -123.8358921 0.37684
4398360 39.7321264 428430 -123.8351920 0.38200
4398360 39.7321390 428580 -123.8334417 0.37669
4398360 39.7321415 428610 -123.8330917 0.41918
4398360 39.7321515 428730 -123.8316915 0.37669
4398330 39.7317954 427710 -123.8435899 0.43302
4398330 39.7317979 427740 -123.8432399 0.39218
4398330 39.7318005 427770 -123.8428898 0.37826
4398330 39.7318030 427800 -123.8425398 0.38125
4398330 39.7318081 427860 -123.8418397 0.38218
4398330 39.7318132 427920 -123.8411396 0.38086
4398330 39.7318157 427950 -123.8407895 0.37669
4398330 39.7318182 427980 -123.8404395 0.38086
4398330 39.7318208 428010 -123.8400894 0.37246
4398330 39.7318233 428040 -123.8397394 0.37826
4398330 39.7318258 428070 -123.8393893 0.38086
4398330 39.7318284 428100 -123.8390393 0.38086
4398330 39.7318309 428130 -123.8386892 0.38520
4398330 39.7318435 428280 -123.8369390 0.37826
4398330 39.7318511 428370 -123.8358888 0.38125
4398330 39.7318536 428400 -123.8355388 0.37995
4398330 39.7318813 428730 -123.8316882 0.40623
4398300 39.7315251 427710 -123.8435866 0.39004
4398300 39.7315277 427740 -123.8432366 0.33736
4398300 39.7315302 427770 -123.8428865 0.44712
4398300 39.7315327 427800 -123.8425365 0.36930
4398300 39.7315353 427830 -123.8421864 0.38823
4398300 39.7315378 427860 -123.8418364 0.38218
4398300 39.7315404 427890 -123.8414864 0.38201
4398300 39.7315429 427920 -123.8411363 0.43907
4398300 39.7315454 427950 -123.8407863 0.38642
4398300 39.7315480 427980 -123.8404362 0.38200
4398300 39.7315530 428040 -123.8397361 0.38086
4398300 39.7315606 428130 -123.8386860 0.38346
4398300 39.7315682 428220 -123.8376358 0.37995
4398300 39.7315733 428280 -123.8369357 0.38218
4398300 39.7315758 428310 -123.8365857 0.37246
4398300 39.7315934 428520 -123.8341353 0.41539
4398300 39.7315959 428550 -123.8337853 0.38346
4398300 39.7316010 428610 -123.8330852 0.38200
4398300 39.7316035 428640 -123.8327351 0.37669
4398270 39.7312523 427680 -123.8439334 0.37822
4398270 39.7312548 427710 -123.8435833 0.34628
4398270 39.7312599 427770 -123.8428833 0.37246
4398270 39.7312625 427800 -123.8425332 0.38086
4398270 39.7312650 427830 -123.8421832 0.38427
4398270 39.7312726 427920 -123.8411330 0.37966
4398270 39.7312752 427950 -123.8407830 0.38200
4398270 39.7312802 428010 -123.8400829 0.33616
4398270 39.7312878 428100 -123.8390327 0.37966
4398270 39.7312903 428130 -123.8386827 0.37642
4398270 39.7312979 428220 -123.8376325 0.38086
4398270 39.7313005 428250 -123.8372825 0.38427
4398270 39.7313307 428610 -123.8330819 0.47798
4398270 39.7313332 428640 -123.8327319 0.52384
4398240 39.7309820 427680 -123.8439301 0.38218
4398240 39.7309846 427710 -123.8435801 0.38427
4398240 39.7309896 427770 -123.8428800 0.38125
4398240 39.7309922 427800 -123.8425299 0.37940
4398240 39.7309947 427830 -123.8421799 0.37995
4398240 39.7310023 427920 -123.8411297 0.41940
4398240 39.7310125 428040 -123.8397295 0.38086
4398240 39.7310175 428100 -123.8390295 0.37944
4398240 39.7310201 428130 -123.8386794 0.37944
4398240 39.7310251 428190 -123.8379793 0.37995
4398240 39.7310277 428220 -123.8376293 0.42316
4398240 39.7310302 428250 -123.8372792 0.39218
4398240 39.7310327 428280 -123.8369292 0.41772
4398240 39.7310352 428310 -123.8365791 0.38200
4398240 39.7310377 428340 -123.8362291 0.38059
4398240 39.7310503 428490 -123.8344788 0.41711
4398210 39.7307117 427680 -123.8439268 0.38200
