# Python MESMA for LT05_LE07_20061020_20061021 run on 20200126 
#  MESMA frac range = 0.2-1 
#  Northings (y); Latitude; Eastings (x) Longitude; Kelp Fraction
4394880 39.7009501 430560 -123.8099713 0.26147
4394850 39.7006798 430560 -123.8099682 0.27054
4393860 39.6918043 431100 -123.8035666 0.20127
4393770 39.6909958 431130 -123.8032073 0.26000
4393770 39.6909982 431160 -123.8028575 0.21141
4393740 39.6907255 431130 -123.8032042 0.29550
4392360 39.6783071 431310 -123.8009615 0.28077
4390740 39.6637358 431610 -123.7972958 0.21222
4390710 39.6634704 431670 -123.7965933 0.20208
4390710 39.6634727 431700 -123.7962436 0.20208
4390680 39.6632001 431670 -123.7965902 0.27640
4390680 39.6632120 431820 -123.7948417 0.27640
4390680 39.6632144 431850 -123.7944919 0.26943
4390680 39.6632168 431880 -123.7941422 0.20208
4390680 39.6632192 431910 -123.7937925 0.21222
4390650 39.6629298 431670 -123.7965871 0.28123
4390650 39.6629322 431700 -123.7962374 0.29550
4390650 39.6629394 431790 -123.7951883 0.23891
4390650 39.6629418 431820 -123.7948386 0.27640
4390650 39.6629442 431850 -123.7944889 0.20208
4390620 39.6626571 431640 -123.7969337 0.22195
4390620 39.6626595 431670 -123.7965840 0.35657
4390620 39.6626619 431700 -123.7962343 0.35011
4390620 39.6626667 431760 -123.7955349 0.24311
4390620 39.6626691 431790 -123.7951852 0.35856
4390620 39.6626715 431820 -123.7948355 0.27640
4390620 39.6626739 431850 -123.7944858 0.20208
4390590 39.6623892 431670 -123.7965809 0.23891
4390590 39.6623916 431700 -123.7962312 0.28123
4390590 39.6623940 431730 -123.7958815 0.20208
4390590 39.6623964 431760 -123.7955318 0.21222
4390590 39.6623988 431790 -123.7951821 0.27640
4390560 39.6621285 431790 -123.7951790 0.21222
4389600 39.6534938 431970 -123.7929819 0.20208
4389600 39.6534962 432000 -123.7926322 0.22195
4389600 39.6534985 432030 -123.7922826 0.21222
4389570 39.6532187 431910 -123.7936781 0.35011
4389570 39.6532211 431940 -123.7933285 0.20208
4389570 39.6532235 431970 -123.7929788 0.21222
4389570 39.6532259 432000 -123.7926292 0.29550
4389570 39.6532283 432030 -123.7922795 0.22195
4389570 39.6532306 432060 -123.7919298 0.28123
4389570 39.6532330 432090 -123.7915802 0.28123
4389570 39.6532354 432120 -123.7912305 0.20194
4389540 39.6529484 431910 -123.7936750 0.25068
4389540 39.6529508 431940 -123.7933254 0.31040
4389540 39.6529532 431970 -123.7929757 0.26149
4389540 39.6529556 432000 -123.7926261 0.21222
4389540 39.6529580 432030 -123.7922764 0.21222
4389540 39.6529604 432060 -123.7919268 0.35318
4389540 39.6529627 432090 -123.7915771 0.23891
4389540 39.6529651 432120 -123.7912274 0.23891
4389510 39.6526805 431940 -123.7933223 0.21222
4389510 39.6526948 432120 -123.7912244 0.20222
4384290 39.6056604 432060 -123.7913877 0.21237
4384290 39.6056628 432090 -123.7910382 0.21237
4384050 39.6034933 432000 -123.7920619 0.28528
4384020 39.6032230 432000 -123.7920588 0.34753
4383990 39.6029528 432000 -123.7920557 0.37910
4383960 39.6026825 432000 -123.7920526 0.69889
4383960 39.6026849 432030 -123.7917032 0.37330
4383570 39.5991640 431940 -123.7927114 0.26279
4383570 39.5991687 432000 -123.7920126 0.45986
4383540 39.5988937 431940 -123.7927083 0.23740
4383480 39.5983531 431940 -123.7927021 0.23740
4383480 39.5983555 431970 -123.7923527 0.31314
4383450 39.5980852 431970 -123.7923497 0.20274
