# Python MESMA for LE07_LT05_20111026_20111027_20200121 run on 20200123 
#  MESMA frac range = 0.2-1 
#  Northings (y); Latitude; Eastings (x) Longitude; Kelp Fraction
4384590 39.6083298 431640 -123.7963105 0.20534
4384530 39.6078108 431910 -123.7931594 0.20534
4382520 39.5897182 432120 -123.7905075 0.20031
4382490 39.5894479 432120 -123.7905044 0.20031
4382460 39.5891990 432390 -123.7873573 0.23991
4382460 39.5892013 432420 -123.7870080 0.23956
4382430 39.5889405 432540 -123.7856076 0.25820
4382430 39.5889429 432570 -123.7852583 0.23930
4382430 39.5889452 432600 -123.7849089 0.23964
4382310 39.5878617 432570 -123.7852461 0.21507
4381440 39.5800234 432570 -123.7851576 0.24017
4381410 39.5797271 432240 -123.7889967 0.20186
4381380 39.5794828 432570 -123.7851515 0.20667
4380870 39.5748690 432330 -123.7878938 0.20152
4380780 39.5740888 432720 -123.7833442 0.21171
4380720 39.5735223 432390 -123.7871800 0.20186
4380720 39.5735529 432780 -123.7826396 0.20152
4380570 39.5721637 432300 -123.7882124 0.20242
4380540 39.5718934 432300 -123.7882094 0.23057
4379430 39.5619516 433050 -123.7793662 0.24783
4379400 39.5616860 433110 -123.7786647 0.20466
4378950 39.5576223 432990 -123.7800161 0.20495
4376820 39.5384200 432840 -123.7815467 0.24398
4373700 39.5102151 431640 -123.7951892 0.24621
4370040 39.4771166 430110 -123.8126011 0.24162
4365210 39.4335457 429450 -123.8197635 0.45304
4362420 39.4083641 428910 -123.8257408 0.29613
4362330 39.4075606 429000 -123.8246860 0.24295
4362270 39.4070126 428910 -123.8257249 0.30097
4362150 39.4059339 428940 -123.8253637 0.34207
4360020 39.3867406 428910 -123.8254859 0.28970
4359690 39.3837673 428910 -123.8254509 0.36556
4359660 39.3834921 428850 -123.8261443 0.28555
4359660 39.3834945 428880 -123.8257960 0.36556
4359660 39.3834970 428910 -123.8254477 0.36880
4359660 39.3834995 428940 -123.8250994 0.29729
4359540 39.3824059 428790 -123.8268281 0.23274
4359420 39.3813198 428730 -123.8275120 0.31000
4359420 39.3813223 428760 -123.8271637 0.40823
4359420 39.3813248 428790 -123.8268154 0.29694
4359390 39.3810520 428760 -123.8271605 0.32355
4359390 39.3810545 428790 -123.8268122 0.50366
4359390 39.3810569 428820 -123.8264639 0.27798
4358130 39.3696996 428760 -123.8270265 0.30177
4357830 39.3669917 428700 -123.8276911 0.32787
4357830 39.3669942 428730 -123.8273429 0.46388
4357830 39.3669966 428760 -123.8269946 0.34165
4357830 39.3669991 428790 -123.8266464 0.28521
4357800 39.3667264 428760 -123.8269915 0.35607
4357800 39.3667288 428790 -123.8266432 0.34165
4357800 39.3667313 428820 -123.8262950 0.34174
4357770 39.3664610 428820 -123.8262918 0.29667
4357710 39.3659476 429150 -123.8224551 0.81476
4357530 39.3643258 429150 -123.8224360 0.30041
4357500 39.3640604 429210 -123.8217365 0.46965
4357500 39.3640629 429240 -123.8213882 0.38766
4357500 39.3640653 429270 -123.8210400 0.30012
4357470 39.3637926 429240 -123.8213851 0.41542
4357440 39.3635247 429270 -123.8210337 0.33891
4357230 39.3616253 429180 -123.8220561 0.41212
4357200 39.3613550 429180 -123.8220530 0.33956
4355100 39.3424268 429090 -123.8228756 0.26944
4354650 39.3383896 429300 -123.8203915 0.58726
4354650 39.3383920 429330 -123.8200434 0.40646
4354620 39.3381193 429300 -123.8203883 0.36588
4354620 39.3381218 429330 -123.8200402 0.58710
4354620 39.3381242 429360 -123.8196921 0.25348
4354590 39.3378515 429330 -123.8200371 0.31538
4354530 39.3373109 429330 -123.8200308 0.31499
4354530 39.3373133 429360 -123.8196827 0.42393
4354530 39.3373158 429390 -123.8193346 0.25704
4354500 39.3370430 429360 -123.8196795 0.36588
4354470 39.3367727 429360 -123.8196764 0.31345
4354410 39.3362321 429360 -123.8196701 0.36549
4354410 39.3362346 429390 -123.8193220 0.25322
4353630 39.3292337 429720 -123.8154116 0.20987
