# Python MESMA for LE07_LC08_20150903_20150904 run on 20200126 
#  MESMA frac range = 0.2-1 
#  Northings (y); Latitude; Eastings (x) Longitude; Kelp Fraction
4380630 39.5727936 433440 -123.7749469 0.91216
4364370 39.4260337 430140 -123.8116589 0.54566
4364370 39.4260361 430170 -123.8113104 0.51280
4364340 39.4257561 430050 -123.8127013 0.47647
4357110 39.3605515 429270 -123.8209989 0.33784
4357110 39.3605539 429300 -123.8206507 0.55792
4357110 39.3605564 429330 -123.8203025 0.74113
4357110 39.3605588 429360 -123.8199543 0.48750
4357110 39.3605613 429390 -123.8196061 0.54440
4357110 39.3605637 429420 -123.8192579 0.60986
4350660 39.3025755 430980 -123.8004889 0.79271
4350630 39.3022813 430680 -123.8039649 0.56745
4350210 39.2985449 431280 -123.7969639 0.42772
4350180 39.2982698 431220 -123.7976566 0.34975
4350150 39.2979995 431220 -123.7976535 0.33049
4350090 39.2974589 431220 -123.7976474 0.47397
4350060 39.2971886 431220 -123.7976443 0.32778
4349520 39.2923017 430950 -123.8007198 0.89053
4349490 39.2920314 430950 -123.8007168 0.94426
4349460 39.2917635 430980 -123.8003658 0.75698
4349460 39.2917659 431010 -123.8000180 0.36036
4349460 39.2917683 431040 -123.7996701 0.64149
4349460 39.2917993 431430 -123.7951480 0.57291
4349430 39.2915004 431070 -123.7993192 0.60375
4349430 39.2915290 431430 -123.7951450 0.67506
4349400 39.2912325 431100 -123.7989683 0.56755
4349400 39.2912563 431400 -123.7954898 0.74516
4347420 39.2734188 431430 -123.7949402 0.83465
4347390 39.2731485 431430 -123.7949372 0.51641
4347270 39.2720910 431730 -123.7914474 0.28901
4347240 39.2718230 431760 -123.7910966 0.37942
4347180 39.2712801 431730 -123.7914383 0.30993
4347180 39.2712824 431760 -123.7910905 0.32423
4347150 39.2710121 431760 -123.7910875 0.41089
4347120 39.2707418 431760 -123.7910844 0.44985
4347090 39.2704715 431760 -123.7910814 0.35736
4347000 39.2696535 431670 -123.7921155 0.38116
4347000 39.2696559 431700 -123.7917678 0.34795
4347000 39.2696582 431730 -123.7914200 0.45475
4347000 39.2696606 431760 -123.7910723 0.41389
4346970 39.2693737 431550 -123.7935034 0.47729
4346970 39.2693761 431580 -123.7931557 0.42664
4346970 39.2693785 431610 -123.7928080 0.33324
4346970 39.2693808 431640 -123.7924602 0.41456
4346970 39.2693832 431670 -123.7921125 0.74180
4346970 39.2693856 431700 -123.7917647 0.43145
4346880 39.2685747 431700 -123.7917556 0.55199
4346850 39.2683044 431700 -123.7917526 0.70081
4346670 39.2666493 431280 -123.7966025 0.74886
4346610 39.2661396 431670 -123.7920760 0.84287
4341030 39.2160075 433530 -123.7699670 0.95210
4340880 39.2146445 433380 -123.7716896 0.35623
4340850 39.2143765 433410 -123.7713392 0.98929
4340850 39.2143788 433440 -123.7709917 0.63043
4338240 39.1909055 434010 -123.7641348 0.44974
4338240 39.1909078 434040 -123.7637875 0.34944
4337760 39.1866147 434460 -123.7588780 0.42807
4337730 39.1863444 434460 -123.7588751 0.54204
4337730 39.1863466 434490 -123.7585277 0.44268
4337700 39.1860741 434460 -123.7588721 0.41915
4337700 39.1860763 434490 -123.7585248 0.44426
4337670 39.1857992 434400 -123.7595639 0.34911
4337670 39.1858015 434430 -123.7592166 0.45404
4337670 39.1858037 434460 -123.7588692 0.47551
4337670 39.1858060 434490 -123.7585219 0.49682
4337640 39.1855312 434430 -123.7592137 0.56577
4337640 39.1855334 434460 -123.7588663 0.59271
4337640 39.1855357 434490 -123.7585190 0.51794
4332270 39.1373536 437250 -123.7260667 0.90447
4332270 39.1373644 437400 -123.7243312 0.60637
4331580 39.1311537 437490 -123.7232264 0.94735
4330770 39.1238745 437760 -123.7200284 0.29802
4330740 39.1236085 437820 -123.7193316 0.33065
4330650 39.1227954 437790 -123.7196704 0.77915
4321050 39.0364517 440040 -123.6927968 0.67032
4310010 38.9367415 436740 -123.7299009 0.65107
4309770 38.9345984 437010 -123.7267637 0.83564
4307280 38.9122554 438330 -123.7113109 0.66708
4306920 38.9090325 438630 -123.7078187 0.62321
4305180 38.8934367 439830 -123.6938267 0.51127
4300890 38.8549938 443040 -123.6564585 0.49347
4300890 38.8549957 443070 -123.6561127 0.50094
4300860 38.8547254 443070 -123.6561103 0.48743
4300770 38.8538930 442740 -123.6599057 0.46252
4300740 38.8536226 442740 -123.6599032 0.60257
4300620 38.8525335 442620 -123.6612761 0.43615
4300620 38.8525452 442800 -123.6592018 0.70442
4300590 38.8522749 442800 -123.6591993 0.66720
4300590 38.8522768 442830 -123.6588536 0.47055
4300500 38.8514620 442770 -123.6595375 0.39139
4300470 38.8511897 442740 -123.6598807 0.54542
4300470 38.8511916 442770 -123.6595350 0.45124
4300440 38.8509193 442740 -123.6598783 0.43611
4300410 38.8506451 442680 -123.6605672 0.46969
4295790 38.8093331 447810 -123.6011010 0.48897
4295760 38.8090628 447810 -123.6010987 0.69908
4295760 38.8090645 447840 -123.6007532 0.45362
4294890 38.8012811 448800 -123.5896323 0.38195
4294860 38.8010073 448740 -123.5903210 0.36564
4294830 38.8007300 448620 -123.5917007 0.64382
4294800 38.8004649 448710 -123.5906620 0.51148
4294770 38.8001946 448710 -123.5906598 0.65461
4294740 38.7999242 448710 -123.5906576 0.61071
4291500 38.7709765 453180 -123.5389632 0.40458
4291230 38.7685435 453180 -123.5389449 0.40531
4277850 38.6485237 465180 -123.4001440 0.61523
4272000 38.5959672 469590 -123.3492104 0.86702
4264350 38.5272411 476700 -123.2673088 0.71733
