# Python MESMA for LC08_LE07_20190814_20190813_20200121 run on 20200123 
#  MESMA frac range = 0.2-1 
#  Northings (y); Latitude; Eastings (x) Longitude; Kelp Fraction
4380630 39.5727936 433440 -123.7749469 0.70417
4364640 39.4284761 430260 -123.8102930 0.50589
4364640 39.4284785 430290 -123.8099445 0.35593
4357710 39.3659476 429150 -123.8224551 0.82309
4350660 39.3025492 430650 -123.8043159 0.55716
4350630 39.3022813 430680 -123.8039649 0.63142
4347420 39.2734188 431430 -123.7949402 0.58691
4340850 39.2143788 433440 -123.7709917 0.73952
4295790 38.8093313 447780 -123.6014465 0.80811
4294740 38.7999242 448710 -123.5906576 0.73949
4293810 38.7916669 450870 -123.5657178 0.32679
4293780 38.7913965 450870 -123.5657157 0.40460
4291530 38.7712389 453030 -123.5406919 0.38781
4291500 38.7709685 453030 -123.5406899 0.45164
4291500 38.7709701 453060 -123.5403445 0.53484
4291500 38.7709717 453090 -123.5399992 0.42332
4272000 38.5959672 469590 -123.3492104 0.58596
4264230 38.5261588 476670 -123.2676490 0.97516
4262490 38.5105327 478860 -123.2424723 0.70572
4261680 38.5032552 479820 -123.2314379 0.85997
