"Observation Type",Site,Lat,Lon,Region,MPA,Year,Date,Transect,Depth,Distance,Species,"Min Size (cm)","Max Size (cm)",Count
Invertebrate,"Ship Rock",33.462833,-118.4916,South,"Arrow Point to Lion Head Point (Catalina Island) SMCA",2007,2007-11-20,1,10,30,"purple urchin",,,1
Invertebrate,"Ship Rock",33.462833,-118.4916,South,"Arrow Point to Lion Head Point (Catalina Island) SMCA",2007,2007-11-20,2,10,30,"purple urchin",,,0
Invertebrate,"Ship Rock",33.462833,-118.4916,South,"Arrow Point to Lion Head Point (Catalina Island) SMCA",2007,2007-11-20,3,10,30,"purple urchin",,,0
Invertebrate,"Ship Rock",33.462833,-118.4916,South,"Arrow Point to Lion Head Point (Catalina Island) SMCA",2007,2007-11-20,4,10,30,"purple urchin",,,2
Invertebrate,"Ship Rock",33.462833,-118.4916,South,"Arrow Point to Lion Head Point (Catalina Island) SMCA",2007,2007-11-20,5,10,30,"purple urchin",,,3
Invertebrate,"Ship Rock",33.462833,-118.4916,South,"Arrow Point to Lion Head Point (Catalina Island) SMCA",2007,2007-11-20,6,10,30,"purple urchin",,,2
Invertebrate,"South Monastery",36.525299,-121.9319,Central,"Point Lobos SMR",2007,2007-09-08,1,18,30,"purple urchin",,,1
Invertebrate,"South Monastery",36.525299,-121.9319,Central,"Point Lobos SMR",2007,2007-09-08,2,18,30,"purple urchin",,,0
Invertebrate,"South Monastery",36.525299,-121.9319,Central,"Point Lobos SMR",2007,2007-09-08,3,18,30,"purple urchin",,,0
Invertebrate,"South Monastery",36.525299,-121.9319,Central,"Point Lobos SMR",2007,2007-09-08,4,18,30,"purple urchin",,,0
Invertebrate,"South Monastery",36.525299,-121.9319,Central,"Point Lobos SMR",2007,2007-09-08,5,18,30,"purple urchin",,,0
Invertebrate,"South Monastery",36.525299,-121.9319,Central,"Point Lobos SMR",2007,2007-09-08,6,18,30,"purple urchin",,,0
Invertebrate,"Stillwater Cove Monterey",36.5602,-121.9459,Central,"Carmel Bay SMCA",2007,2007-09-08,1,18,30,"purple urchin",,,0
Invertebrate,"Stillwater Cove Monterey",36.5602,-121.9459,Central,"Carmel Bay SMCA",2007,2007-09-08,2,18,30,"purple urchin",,,0
Invertebrate,"Stillwater Cove Monterey",36.5602,-121.9459,Central,"Carmel Bay SMCA",2007,2007-09-08,3,18,30,"purple urchin",,,0
Invertebrate,"Stillwater Cove Monterey",36.5602,-121.9459,Central,"Carmel Bay SMCA",2007,2007-09-08,4,18,30,"purple urchin",,,0
Invertebrate,"Stillwater Cove Monterey",36.5602,-121.9459,Central,"Carmel Bay SMCA",2007,2007-09-08,5,18,30,"purple urchin",,,0
Invertebrate,"Stillwater Cove Monterey",36.5602,-121.9459,Central,"Carmel Bay SMCA",2007,2007-09-08,6,18,30,"purple urchin",,,0
Invertebrate,"Stillwater Cove Sonoma",38.540298,-123.288803,"North C","Gerstle Cove SMR",2007,2007-10-14,1,8,30,"purple urchin",,,0
Invertebrate,"Stillwater Cove Sonoma",38.540298,-123.288803,"North C","Gerstle Cove SMR",2007,2007-10-14,2,8,30,"purple urchin",,,0
Invertebrate,"Stillwater Cove Sonoma",38.540298,-123.288803,"North C","Gerstle Cove SMR",2007,2007-10-14,3,8,30,"purple urchin",,,0
Invertebrate,"Stillwater Cove Sonoma",38.540298,-123.288803,"North C","Gerstle Cove SMR",2007,2007-10-14,4,8,30,"purple urchin",,,0
Invertebrate,"Stillwater Cove Sonoma",38.540298,-123.288803,"North C","Gerstle Cove SMR",2007,2007-10-14,5,8,30,"purple urchin",,,0
Invertebrate,"Stillwater Cove Sonoma",38.540298,-123.288803,"North C","Gerstle Cove SMR",2007,2007-10-14,6,8,30,"purple urchin",,,1
Invertebrate,Stornetta,38.937244,-123.731911,"North C","Sea Lion Cove SMCA",2007,2007-09-12,1,12,30,"purple urchin",,,3
Invertebrate,Stornetta,38.937244,-123.731911,"North C","Sea Lion Cove SMCA",2007,2007-09-12,2,12,30,"purple urchin",,,8
Invertebrate,Stornetta,38.937244,-123.731911,"North C","Sea Lion Cove SMCA",2007,2007-09-12,3,12,5,"purple urchin",,,50
Invertebrate,Stornetta,38.937244,-123.731911,"North C","Sea Lion Cove SMCA",2007,2007-09-12,4,12,30,"purple urchin",,,0
Invertebrate,Stornetta,38.937244,-123.731911,"North C","Sea Lion Cove SMCA",2007,2007-09-12,5,12,30,"purple urchin",,,0
Invertebrate,Stornetta,38.937244,-123.731911,"North C","Sea Lion Cove SMCA",2007,2007-09-12,6,12,30,"purple urchin",,,0
Invertebrate,"120 Reef",33.737919,-118.392014,South,"Abalone Cove SMCA",2006,2006-10-01,1,9,5,"purple urchin",,,50
Invertebrate,"120 Reef",33.737919,-118.392014,South,"Abalone Cove SMCA",2006,2006-10-01,2,9,17,"purple urchin",,,50
Invertebrate,"120 Reef",33.737919,-118.392014,South,"Abalone Cove SMCA",2006,2006-10-01,3,9,8,"purple urchin",,,50
Invertebrate,"120 Reef",33.737919,-118.392014,South,"Abalone Cove SMCA",2006,2006-10-01,4,9,9,"purple urchin",,,50
Invertebrate,"120 Reef",33.737919,-118.392014,South,"Abalone Cove SMCA",2006,2006-10-01,5,9,6,"purple urchin",,,50
Invertebrate,"120 Reef",33.737919,-118.392014,South,"Abalone Cove SMCA",2006,2006-10-01,6,9,27,"purple urchin",,,50
Invertebrate,"120 Reef",33.737919,-118.392014,South,"Abalone Cove SMCA",2007,2007-08-19,1,9,26,"purple urchin",,,50
Invertebrate,"120 Reef",33.737919,-118.392014,South,"Abalone Cove SMCA",2007,2007-08-19,2,9,30,"purple urchin",,,37
Invertebrate,"120 Reef",33.737919,-118.392014,South,"Abalone Cove SMCA",2007,2007-08-19,3,9,30,"purple urchin",,,50
Invertebrate,"120 Reef",33.737919,-118.392014,South,"Abalone Cove SMCA",2007,2007-08-19,4,9,4,"purple urchin",,,50
